Christine Mulcahy,1024819
Clarence E Hart,4001206
Clarence E. Chadwick,6000801
Clarence E. Hart,6000810
Clarence Earle Chadwick,6000712
Clarrie Chadwick,6000936
CN & AS Smithers,6000906
CN & HS Smithers,6000907
CN Smither & GA Holloway,6000908
CN Smithers & GA Holloway,6000910
CN Smithers & JV Peters,6000911
CN Smiths,6000912
Cogger Sadlier,6000954
"Cogger, Hughes & Mackay",6000955
Coleman,6000956
Colin Wyatt,6000957
coll : CSIRO  D. Havenstein,6004897
Colless,6000959
Conservation Volunteers Australia,1014259
Consett. Davis,6000960
Courtenay Neville Smithers,6001806
Cptn L.G. Packman,6000963
Cranney,1013374
Crawshaw,1013930
Creck,6000966
Crowe,1025182
CSIRO aphid survey,6000914
CSU,6000915
CV,8002020
D & h Basoon,6000970
D Bickel,5001728
D Bickel & G Cassis,6000973
D C Lowry,6000975
D Clyne,6000976
D Gardner,4004313
